candidate_id,rank,score,reasoning
CAND_0093912,39,-2.654,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0061265,40,-2.6542,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0077285,41,-2.6546,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0052682,42,-2.6549,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0024147,43,-2.7175,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0005649,44,-2.732,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0014909,45,-2.7479,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0020708,46,-2.75,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0069248,47,-2.7504,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0057369,48,-2.7508,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0023215,49,-2.7773,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0016163,50,-2.816,"Good fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0050876,51,-2.8169,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0061339,52,-2.8169,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0096142,53,-2.8382,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0083852,54,-2.8392,"Marginal fit: highly responsive (response rate 0%). Concern(s): based outside India (Unknown, Unknown)."
CAND_0018722,55,-2.858,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0048375,56,-2.8593,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0017090,57,-2.8601,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0098846,58,-2.8601,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0043381,59,-2.8604,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0076163,60,-2.8892,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0035879,61,-2.8893,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0038206,62,-2.8895,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0080534,63,-2.8896,"Marginal fit: highly responsive (response rate 0%). Concern(s): based outside India (Unknown, Unknown)."
CAND_0065786,64,-2.8906,"Marginal fit: highly responsive (response rate 0%). Concern(s): based outside India (Unknown, Unknown)."
CAND_0066999,65,-2.9096,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0014440,66,-2.9099,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0005509,67,-2.963,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0009307,68,-2.9634,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0042029,69,-2.9744,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0039383,70,-2.9836,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0026716,71,-3.0017,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0095207,72,-3.0224,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0046353,73,-3.0231,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0091890,74,-3.0447,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0099806,75,-3.0735,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0051615,76,-3.0845,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0036184,77,-3.095,"Marginal fit: highly responsive (response rate 0%). Concern(s): based outside India (Unknown, Unknown)."
CAND_0046525,78,-3.0956,"Marginal fit: highly responsive (response rate 0%). Concern(s): based outside India (Unknown, Unknown)."
CAND_0042506,79,-3.1141,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0064904,80,-3.1146,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0017960,81,-3.1191,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0014063,82,-3.1256,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0081958,83,-3.1267,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0054123,84,-3.1384,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0047721,85,-3.2653,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0037944,86,-3.266,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0006850,87,-3.2722,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0036520,88,-3.2722,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0018549,89,-3.2782,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0041610,90,-3.2786,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0076904,91,-3.2838,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0027801,92,-3.3207,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0044222,93,-3.3242,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0049978,94,-3.3811,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0032515,95,-3.3813,"Marginal fit: Candidate. Concern(s): low engagement (0% response rate, last active Unknown); based outside India (Unknown, Unknown)."
CAND_0084819,96,-3.3858,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0074225,97,-3.3859,"Marginal fit: highly responsive (response rate 0%). Concern(s): based outside India (Unknown, Unknown)."
CAND_0040887,98,-3.3879,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0079387,99,-3.4061,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
CAND_0040117,100,-3.4073,"Marginal fit: Candidate. Concern(s): based outside India (Unknown, Unknown)."
